36.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,NONE;WAVE,INFO;WORKFLOW,FINER
15:44:34.0 (308601)|USER_INFO|[EXTERNAL]|0051I000000zlxU|anders.windell@atginfo.com.apex.bootcamp|Pacific Standard Time|GMT-08:00
15:44:34.0 (343446)|EXECUTION_STARTED
15:44:34.0 (347455)|CODE_UNIT_STARTED|[EXTERNAL]|01q1I000001Dqmh|OpportunityTrigger on Opportunity trigger event AfterInsert for [0061I000005Mykz]
15:44:34.0 (396495)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:44:34.0 (841223)|HEAP_ALLOCATE|[72]|Bytes:3
15:44:34.0 (908683)|HEAP_ALLOCATE|[77]|Bytes:152
15:44:34.0 (924743)|HEAP_ALLOCATE|[342]|Bytes:408
15:44:34.0 (941788)|HEAP_ALLOCATE|[355]|Bytes:408
15:44:34.0 (954408)|HEAP_ALLOCATE|[467]|Bytes:48
15:44:34.0 (984080)|HEAP_ALLOCATE|[139]|Bytes:6
15:44:34.0 (1008714)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:44:34.0 (1040108)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:44:34.0 (1097851)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x8e71681
15:44:34.0 (1142871)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:44:34.0 (1160842)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:44:34.0 (1173505)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x8e71681
15:44:34.0 (1181194)|STATEMENT_EXECUTE|[1]
15:44:34.0 (1213534)|HEAP_ALLOCATE|[50]|Bytes:5
15:44:34.0 (1239131)|HEAP_ALLOCATE|[56]|Bytes:5
15:44:34.0 (1247903)|HEAP_ALLOCATE|[64]|Bytes:7
15:44:34.0 (1277591)|STATEMENT_EXECUTE|[3]
15:44:34.0 (1278832)|STATEMENT_EXECUTE|[4]
15:44:34.0 (2943667)|HEAP_ALLOCATE|[4]|Bytes:12
15:44:34.0 (2953663)|HEAP_ALLOCATE|[4]|Bytes:17
15:44:34.0 (2966685)|METHOD_ENTRY|[1]|01p1I00000FV94A|OpportunityTriggerHelper.OpportunityTriggerHelper()
15:44:34.0 (2971957)|STATEMENT_EXECUTE|[1]
15:44:34.0 (2976262)|STATEMENT_EXECUTE|[1]
15:44:34.0 (3291099)|SYSTEM_MODE_ENTER|false
15:44:34.0 (3306438)|HEAP_ALLOCATE|[4]|Bytes:5
15:44:34.0 (3315402)|SYSTEM_MODE_EXIT|false
15:44:34.0 (3324401)|METHOD_EXIT|[1]|OpportunityTriggerHelper
15:44:34.0 (3350117)|METHOD_ENTRY|[4]|01p1I00000FV94A|OpportunityTriggerHelper.afterInsert(List<Opportunity>)
15:44:34.0 (3392292)|VARIABLE_SCOPE_BEGIN|[3]|newOpportunities|List<Opportunity>|true|false
15:44:34.0 (4093966)|VARIABLE_ASSIGNMENT|[3]|newOpportunities|[{"LastModifiedDate":"2017-12-12T23:44:34.000Z","IsDeleted":false,"AccountId":"0011I000007E0EyQAK","HasOpportunityLineIt (2 more) ...":false,"StageName":"Closed Won","Probability":100,"ForecastCategory":"Closed","IsClosed":true,"CloseDate":"2017-12-12T00:00:00.000Z","Name":"Insert Test","SystemModstamp":"2017-12-12T23:44:34.000Z","HasOpenActivity":false,"CreatedById":"0051I000000zlxUQAQ","OwnerId":"0051I000000zlxUQAQ","IsWon":true,"CreatedDate":"2017-12-12T23:44:34.000Z","HasOverdueTask":false,"Id":"0061I000005MykzQAC","ForecastCategoryName":"Closed","IsPrivate":false,"LastModifiedById":"0051I000000zlxUQAQ"}]|0x1b6f948
15:44:34.0 (4132621)|SYSTEM_MODE_ENTER|false
15:44:34.0 (4143105)|HEAP_ALLOCATE|[4]|Bytes:5
15:44:34.0 (4150241)|STATEMENT_EXECUTE|[3]
15:44:34.0 (4151986)|STATEMENT_EXECUTE|[4]
15:44:34.0 (4173013)|METHOD_ENTRY|[4]|01p1I00000FV94A|OpportunityTriggerHelper.insertIsClosedWon(List<Opportunity>)
15:44:34.0 (4218894)|VARIABLE_SCOPE_BEGIN|[10]|insertedOpportunities|List<Opportunity>|true|false
15:44:34.0 (4479743)|VARIABLE_ASSIGNMENT|[10]|insertedOpportunities|[{"LastModifiedDate":"2017-12-12T23:44:34.000Z","IsDeleted":false,"AccountId":"0011I000007E0EyQAK","HasOpportunityLineIt (2 more) ...":false,"StageName":"Closed Won","Probability":100,"ForecastCategory":"Closed","IsClosed":true,"CloseDate":"2017-12-12T00:00:00.000Z","Name":"Insert Test","SystemModstamp":"2017-12-12T23:44:34.000Z","HasOpenActivity":false,"CreatedById":"0051I000000zlxUQAQ","OwnerId":"0051I000000zlxUQAQ","IsWon":true,"CreatedDate":"2017-12-12T23:44:34.000Z","HasOverdueTask":false,"Id":"0061I000005MykzQAC","ForecastCategoryName":"Closed","IsPrivate":false,"LastModifiedById":"0051I000000zlxUQAQ"}]|0x1b6f948
15:44:34.0 (4501640)|HEAP_ALLOCATE|[11]|Bytes:5
15:44:34.0 (4506665)|STATEMENT_EXECUTE|[10]
15:44:34.0 (4507772)|STATEMENT_EXECUTE|[11]
15:44:34.0 (4510554)|HEAP_ALLOCATE|[11]|Bytes:23
15:44:34.0 (4549894)|SYSTEM_METHOD_ENTRY|[11]|String.valueOf(Object)
15:44:34.0 (4874084)|HEAP_ALLOCATE|[11]|Bytes:968
15:44:34.0 (4894165)|SYSTEM_METHOD_EXIT|[11]|String.valueOf(Object)
15:44:34.0 (4908116)|HEAP_ALLOCATE|[11]|Bytes:991
15:44:34.0 (4925406)|SYSTEM_METHOD_ENTRY|[11]|System.debug(ANY)
15:44:34.0 (4933058)|USER_DEBUG|[11]|DEBUG|Inserted Opportunities (Opportunity:{Id=0061I000005MykzQAC, IsDeleted=false, AccountId=0011I000007E0EyQAK, IsPrivate=false, Name=Insert Test, Description=null, StageName=Closed Won, Amount=null, Probability=100, ExpectedRevenue=null, TotalOpportunityQuantity=null, CloseDate=2017-12-12 00:00:00, Type=null, NextStep=null, LeadSource=null, IsClosed=true, IsWon=true, ForecastCategory=Closed, ForecastCategoryName=Closed, CampaignId=null, HasOpportunityLineItem=false, Pricebook2Id=null, OwnerId=0051I000000zlxUQAQ, CreatedDate=2017-12-12 23:44:34, CreatedById=0051I000000zlxUQAQ, LastModifiedDate=2017-12-12 23:44:34, LastModifiedById=0051I000000zlxUQAQ, SystemModstamp=2017-12-12 23:44:34, LastActivityDate=null, FiscalYear=null, FiscalQuarter=null, LastViewedDate=null, LastReferencedDate=null, ContractId=null, HasOpenActivity=false, HasOverdueTask=false, DeliveryInstallationStatus__c=null, TrackingNumber__c=null, OrderNumber__c=null, CurrentGenerators__c=null, MainCompetitors__c=null})
15:44:34.0 (4950089)|SYSTEM_METHOD_EXIT|[11]|System.debug(ANY)
15:44:34.0 (4953891)|STATEMENT_EXECUTE|[12]
15:44:34.0 (4972106)|HEAP_ALLOCATE|[12]|Bytes:4
15:44:34.0 (5009660)|SYSTEM_CONSTRUCTOR_ENTRY|[12]|<init>()
15:44:34.0 (5032584)|SYSTEM_CONSTRUCTOR_EXIT|[12]|<init>()
15:44:34.0 (5037212)|VARIABLE_SCOPE_BEGIN|[12]|oppsToCreateContracts|List<Opportunity>|true|false
15:44:34.0 (5047666)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:44:34.0 (5054587)|VARIABLE_ASSIGNMENT|[12]|oppsToCreateContracts|[]|0x27e356a0
15:44:34.0 (5066867)|SYSTEM_METHOD_ENTRY|[13]|List<Opportunity>.iterator()
15:44:34.0 (5173548)|SYSTEM_METHOD_EXIT|[13]|List<Opportunity>.iterator()
15:44:34.0 (5191088)|SYSTEM_METHOD_ENTRY|[13]|system.ListIterator.hasNext()
15:44:34.0 (5202661)|HEAP_ALLOCATE|[13]|Bytes:5
15:44:34.0 (5221777)|SYSTEM_METHOD_EXIT|[13]|system.ListIterator.hasNext()
15:44:34.0 (5240267)|VARIABLE_SCOPE_BEGIN|[13]|opp|Opportunity|true|false
15:44:34.0 (5512394)|VARIABLE_ASSIGNMENT|[13]|opp|{"LastModifiedDate":"2017-12-12T23:44:34.000Z","IsDeleted":false,"AccountId":"0011I000007E0EyQAK","HasOpportunityLineIt (2 more) ...":false,"StageName":"Closed Won","Probability":100,"ForecastCategory":"Closed","IsClosed":true,"CloseDate":"2017-12-12T00:00:00.000Z","Name":"Insert Test","SystemModstamp":"2017-12-12T23:44:34.000Z","HasOpenActivity":false,"CreatedById":"0051I000000zlxUQAQ","OwnerId":"0051I000000zlxUQAQ","IsWon":true,"CreatedDate":"2017-12-12T23:44:34.000Z","HasOverdueTask":false,"Id":"0061I000005MykzQAC","ForecastCategoryName":"Closed","IsPrivate":false,"LastModifiedById":"0051I000000zlxUQAQ"}|0x6f3a4fd2
15:44:34.0 (5528393)|STATEMENT_EXECUTE|[13]
15:44:34.0 (5546517)|HEAP_ALLOCATE|[14]|Bytes:10
15:44:34.0 (5569485)|STATEMENT_EXECUTE|[14]
15:44:34.0 (5570772)|STATEMENT_EXECUTE|[15]
15:44:34.0 (5585937)|SYSTEM_METHOD_ENTRY|[15]|List<Opportunity>.add(Object)
15:44:34.0 (5603210)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:44:34.0 (5612668)|SYSTEM_METHOD_EXIT|[15]|List<Opportunity>.add(Object)
15:44:34.0 (5619732)|SYSTEM_METHOD_ENTRY|[13]|system.ListIterator.hasNext()
15:44:34.0 (5626808)|HEAP_ALLOCATE|[13]|Bytes:5
15:44:34.0 (5632104)|SYSTEM_METHOD_EXIT|[13]|system.ListIterator.hasNext()
15:44:34.0 (5640540)|VARIABLE_ASSIGNMENT|[13]|opp|null|
15:44:34.0 (5647389)|SYSTEM_METHOD_ENTRY|[19]|List<Opportunity>.size()
15:44:34.0 (5661608)|SYSTEM_METHOD_EXIT|[19]|List<Opportunity>.size()
15:44:34.0 (5667297)|STATEMENT_EXECUTE|[19]
