36.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,NONE;WAVE,INFO;WORKFLOW,FINER
15:41:49.0 (304701)|USER_INFO|[EXTERNAL]|0051I000000zlxU|anders.windell@atginfo.com.apex.bootcamp|Pacific Standard Time|GMT-08:00
15:41:49.0 (334159)|EXECUTION_STARTED
15:41:49.0 (338892)|CODE_UNIT_STARTED|[EXTERNAL]|01q1I000001Dqmh|OpportunityTrigger on Opportunity trigger event AfterUpdate for [0061I0000056Klc]
15:41:49.0 (379026)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:41:49.0 (462126)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:41:49.0 (1062224)|HEAP_ALLOCATE|[72]|Bytes:3
15:41:49.0 (1096036)|HEAP_ALLOCATE|[77]|Bytes:152
15:41:49.0 (1112166)|HEAP_ALLOCATE|[342]|Bytes:408
15:41:49.0 (1127710)|HEAP_ALLOCATE|[355]|Bytes:408
15:41:49.0 (1140276)|HEAP_ALLOCATE|[467]|Bytes:48
15:41:49.0 (1168545)|HEAP_ALLOCATE|[139]|Bytes:6
15:41:49.0 (1190714)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:41:49.0 (1200609)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:41:49.0 (1245080)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3d801c0
15:41:49.0 (1284566)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:41:49.0 (1291088)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:41:49.0 (1301987)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3d801c0
15:41:49.0 (1309072)|STATEMENT_EXECUTE|[1]
15:41:49.0 (1337055)|HEAP_ALLOCATE|[50]|Bytes:5
15:41:49.0 (1359094)|HEAP_ALLOCATE|[56]|Bytes:5
15:41:49.0 (1370396)|HEAP_ALLOCATE|[64]|Bytes:7
15:41:49.0 (1402489)|STATEMENT_EXECUTE|[5]
15:41:49.0 (1404160)|STATEMENT_EXECUTE|[6]
15:41:49.0 (3194296)|HEAP_ALLOCATE|[6]|Bytes:12
15:41:49.0 (3204509)|HEAP_ALLOCATE|[6]|Bytes:17
15:41:49.0 (3218270)|METHOD_ENTRY|[1]|01p1I00000FV94A|OpportunityTriggerHelper.OpportunityTriggerHelper()
15:41:49.0 (3224172)|STATEMENT_EXECUTE|[1]
15:41:49.0 (3228097)|STATEMENT_EXECUTE|[1]
15:41:49.0 (3558135)|SYSTEM_MODE_ENTER|false
15:41:49.0 (3575826)|HEAP_ALLOCATE|[6]|Bytes:5
15:41:49.0 (3585967)|SYSTEM_MODE_EXIT|false
15:41:49.0 (3594618)|METHOD_EXIT|[1]|OpportunityTriggerHelper
