41.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,NONE;WAVE,INFO;WORKFLOW,FINER
Execute Anonymous: LocationManagement.queryAndLogData();
16:06:26.0 (993841)|USER_INFO|[EXTERNAL]|0051I000000zlxU|anders.windell@atginfo.com.apex.bootcamp|Pacific Standard Time|GMT-08:00
16:06:26.0 (1015192)|EXECUTION_STARTED
16:06:26.0 (1020232)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
16:06:26.0 (1262403)|HEAP_ALLOCATE|[72]|Bytes:3
16:06:26.0 (1324394)|HEAP_ALLOCATE|[77]|Bytes:152
16:06:26.0 (1343448)|HEAP_ALLOCATE|[342]|Bytes:408
16:06:26.0 (1363766)|HEAP_ALLOCATE|[355]|Bytes:408
16:06:26.0 (1378122)|HEAP_ALLOCATE|[467]|Bytes:48
16:06:26.0 (1409805)|HEAP_ALLOCATE|[139]|Bytes:6
16:06:26.0 (1425470)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
16:06:26.0 (1526178)|STATEMENT_EXECUTE|[1]
16:06:26.0 (1528680)|STATEMENT_EXECUTE|[1]
16:06:26.0 (1583178)|HEAP_ALLOCATE|[50]|Bytes:5
16:06:26.0 (1608712)|HEAP_ALLOCATE|[56]|Bytes:5
16:06:26.0 (1616407)|HEAP_ALLOCATE|[64]|Bytes:7
16:06:26.0 (1639876)|SYSTEM_MODE_ENTER|false
16:06:26.0 (1659488)|HEAP_ALLOCATE|[1]|Bytes:5
16:06:26.0 (10703486)|HEAP_ALLOCATE|[1]|Bytes:22
16:06:26.0 (10716223)|HEAP_ALLOCATE|[1]|Bytes:11
16:06:26.0 (10754552)|METHOD_ENTRY|[1]|01p1I00000Biws2|LocationManagement.LocationManagement()
16:06:26.0 (10762384)|STATEMENT_EXECUTE|[1]
16:06:26.0 (10767870)|STATEMENT_EXECUTE|[1]
16:06:26.0 (10782725)|HEAP_ALLOCATE|[1]|Bytes:5
16:06:26.0 (10808105)|METHOD_EXIT|[1]|LocationManagement
16:06:26.0 (10834721)|METHOD_ENTRY|[1]|01p1I00000Biws2|LocationManagement.queryAndLogData()
16:06:26.0 (10885608)|HEAP_ALLOCATE|[26]|Bytes:5
16:06:26.0 (10890950)|STATEMENT_EXECUTE|[24]
16:06:26.0 (10892531)|STATEMENT_EXECUTE|[26]
16:06:26.0 (10895191)|HEAP_ALLOCATE|[26]|Bytes:15
16:06:26.0 (10914502)|HEAP_ALLOCATE|[26]|Bytes:4
16:06:26.0 (10928955)|METHOD_ENTRY|[26]|01p1I00000Biws2|LocationManagement.getEmployeesByLocationId(Id)
16:06:26.0 (11052086)|VARIABLE_SCOPE_BEGIN|[68]|locationId|Id|false|false
