36.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,NONE;WAVE,INFO;WORKFLOW,FINER
15:46:13.0 (342312)|USER_INFO|[EXTERNAL]|0051I000000zlxU|anders.windell@atginfo.com.apex.bootcamp|Pacific Standard Time|GMT-08:00
15:46:13.0 (372656)|EXECUTION_STARTED
15:46:13.0 (376135)|CODE_UNIT_STARTED|[EXTERNAL]|01q1I000001Dqmh|OpportunityTrigger on Opportunity trigger event AfterUpdate for [0061I000005Mykz]
15:46:13.0 (435495)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:46:13.0 (583788)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:46:13.0 (991529)|HEAP_ALLOCATE|[72]|Bytes:3
15:46:13.0 (1036691)|HEAP_ALLOCATE|[77]|Bytes:152
15:46:13.0 (1053694)|HEAP_ALLOCATE|[342]|Bytes:408
15:46:13.0 (1068351)|HEAP_ALLOCATE|[355]|Bytes:408
15:46:13.0 (1083967)|HEAP_ALLOCATE|[467]|Bytes:48
15:46:13.0 (1112922)|HEAP_ALLOCATE|[139]|Bytes:6
15:46:13.0 (1139277)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:46:13.0 (1147959)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:46:13.0 (1195183)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3619b8b9
15:46:13.0 (1235591)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:46:13.0 (1242501)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:46:13.0 (1252792)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3619b8b9
15:46:13.0 (1260880)|STATEMENT_EXECUTE|[1]
15:46:13.0 (1290670)|HEAP_ALLOCATE|[50]|Bytes:5
15:46:13.0 (1314991)|HEAP_ALLOCATE|[56]|Bytes:5
15:46:13.0 (1323298)|HEAP_ALLOCATE|[64]|Bytes:7
15:46:13.0 (1363224)|STATEMENT_EXECUTE|[5]
15:46:13.0 (1365900)|STATEMENT_EXECUTE|[6]
15:46:13.0 (3421452)|HEAP_ALLOCATE|[6]|Bytes:12
15:46:13.0 (3432182)|HEAP_ALLOCATE|[6]|Bytes:17
15:46:13.0 (3447281)|METHOD_ENTRY|[1]|01p1I00000FV94A|OpportunityTriggerHelper.OpportunityTriggerHelper()
15:46:13.0 (3453407)|STATEMENT_EXECUTE|[1]
15:46:13.0 (3457265)|STATEMENT_EXECUTE|[1]
15:46:13.0 (3798647)|SYSTEM_MODE_ENTER|false
15:46:13.0 (3814672)|HEAP_ALLOCATE|[6]|Bytes:5
15:46:13.0 (3827306)|SYSTEM_MODE_EXIT|false
15:46:13.0 (3836736)|METHOD_EXIT|[1]|OpportunityTriggerHelper
15:46:13.0 (3865004)|METHOD_ENTRY|[6]|01p1I00000FV94A|OpportunityTriggerHelper.afterUpdate(List<Opportunity>, Map<Id,Opportunity>)
15:46:13.0 (3896222)|VARIABLE_SCOPE_BEGIN|[6]|newOpportunities|List<Opportunity>|true|false
15:46:13.0 (4432435)|VARIABLE_ASSIGNMENT|[6]|newOpportunities|[{"LastModifiedDate":"2017-12-12T23:46:13.000Z","IsDeleted":false,"AccountId":"0011I000007E0EyQAK","HasOpportunityLineIt (2 more) ...":false,"StageName":"Closed Won","Probability":100,"ForecastCategory":"Closed","IsClosed":true,"CloseDate":"2017-12-12T00:00:00.000Z","Name":"Insert Test","SystemModstamp":"2017-12-12T23:46:13.000Z","HasOpenActivity":false,"CreatedById":"0051I000000zlxUQAQ","OwnerId":"0051I000000zlxUQAQ","IsWon":true,"CreatedDate":"2017-12-12T23:44:34.000Z","HasOverdueTask":false,"Id":"0061I000005MykzQAC","ForecastCategoryName":"Closed","IsPrivate":false,"LastModifiedById":"0051I000000zlxUQAQ"}]|0x35cf894c
15:46:13.0 (4451329)|VARIABLE_SCOPE_BEGIN|[6]|oldOpportunities|Map<Id,Opportunity>|true|false
15:46:13.0 (4759058)|VARIABLE_ASSIGNMENT|[6]|oldOpportunities|{"0061I000005MykzQAC":{"LastModifiedDate":"2017-12-12T23:45:56.000Z","IsDeleted":false,"AccountId":"0011I000007E0EyQAK","HasOpportunityLineIt (2 more) ...":false,"StageName":"Prospecting","Probability":10,"ForecastCategory":"Pipeline","IsClosed":false,"CloseDate":"2017-12-12T00:00:00.000Z","Name":"Insert Test","SystemModstamp":"2017-12-12T23:45:56.000Z","HasOpenActivity":false,"CreatedById":"0051I000000zlxUQAQ","OwnerId":"0051I000000zlxUQAQ","IsWon":false,"CreatedDate":"2017-12-12T23:44:34.000Z","HasOverdueTask":false,"Id":"0061I000005MykzQAC","ForecastCategoryName":"Pipeline","IsPrivate":false,"LastModifiedById":"0051I000000zlxUQAQ"}}|0x50e59d61
15:46:13.0 (4782402)|SYSTEM_MODE_ENTER|false
15:46:13.0 (4788976)|HEAP_ALLOCATE|[7]|Bytes:5
15:46:13.0 (4794378)|STATEMENT_EXECUTE|[6]
15:46:13.0 (4795659)|STATEMENT_EXECUTE|[7]
15:46:13.0 (4812519)|METHOD_ENTRY|[7]|01p1I00000FV94A|OpportunityTriggerHelper.changedToClosedWon(List<Opportunity>, Map<Id,Opportunity>)
15:46:13.0 (4858905)|VARIABLE_SCOPE_BEGIN|[25]|newOpportunities|List<Opportunity>|true|false
15:46:13.0 (5093864)|VARIABLE_ASSIGNMENT|[25]|newOpportunities|[{"LastModifiedDate":"2017-12-12T23:46:13.000Z","IsDeleted":false,"AccountId":"0011I000007E0EyQAK","HasOpportunityLineIt (2 more) ...":false,"StageName":"Closed Won","Probability":100,"ForecastCategory":"Closed","IsClosed":true,"CloseDate":"2017-12-12T00:00:00.000Z","Name":"Insert Test","SystemModstamp":"2017-12-12T23:46:13.000Z","HasOpenActivity":false,"CreatedById":"0051I000000zlxUQAQ","OwnerId":"0051I000000zlxUQAQ","IsWon":true,"CreatedDate":"2017-12-12T23:44:34.000Z","HasOverdueTask":false,"Id":"0061I000005MykzQAC","ForecastCategoryName":"Closed","IsPrivate":false,"LastModifiedById":"0051I000000zlxUQAQ"}]|0x35cf894c
15:46:13.0 (5108575)|VARIABLE_SCOPE_BEGIN|[25]|oldOpportunities|Map<Id,Opportunity>|true|false
15:46:13.0 (5330762)|VARIABLE_ASSIGNMENT|[25]|oldOpportunities|{"0061I000005MykzQAC":{"LastModifiedDate":"2017-12-12T23:45:56.000Z","IsDeleted":false,"AccountId":"0011I000007E0EyQAK","HasOpportunityLineIt (2 more) ...":false,"StageName":"Prospecting","Probability":10,"ForecastCategory":"Pipeline","IsClosed":false,"CloseDate":"2017-12-12T00:00:00.000Z","Name":"Insert Test","SystemModstamp":"2017-12-12T23:45:56.000Z","HasOpenActivity":false,"CreatedById":"0051I000000zlxUQAQ","OwnerId":"0051I000000zlxUQAQ","IsWon":false,"CreatedDate":"2017-12-12T23:44:34.000Z","HasOverdueTask":false,"Id":"0061I000005MykzQAC","ForecastCategoryName":"Pipeline","IsPrivate":false,"LastModifiedById":"0051I000000zlxUQAQ"}}|0x50e59d61
15:46:13.0 (5351818)|HEAP_ALLOCATE|[26]|Bytes:5
