36.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,NONE;WAVE,INFO;WORKFLOW,FINER
15:49:45.0 (340401)|USER_INFO|[EXTERNAL]|0051I000000zlxU|anders.windell@atginfo.com.apex.bootcamp|Pacific Standard Time|GMT-08:00
15:49:45.0 (374266)|EXECUTION_STARTED
15:49:45.0 (379000)|CODE_UNIT_STARTED|[EXTERNAL]|01q1I000001Dqmh|OpportunityTrigger on Opportunity trigger event AfterInsert for [0061I000005MylE]
15:49:45.0 (409846)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:49:45.0 (779045)|HEAP_ALLOCATE|[72]|Bytes:3
15:49:45.0 (807302)|HEAP_ALLOCATE|[77]|Bytes:152
15:49:45.0 (821195)|HEAP_ALLOCATE|[342]|Bytes:408
15:49:45.0 (837122)|HEAP_ALLOCATE|[355]|Bytes:408
15:49:45.0 (851026)|HEAP_ALLOCATE|[467]|Bytes:48
15:49:45.0 (884533)|HEAP_ALLOCATE|[139]|Bytes:6
15:49:45.0 (913299)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:49:45.0 (926789)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:49:45.0 (985354)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x7d51dc10
15:49:45.0 (1028548)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:49:45.0 (1080594)|VARIABLE_SCOPE_BEGIN|[1]|this|OpportunityTrigger|true|false
15:49:45.0 (1094493)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x7d51dc10
15:49:45.0 (1104933)|STATEMENT_EXECUTE|[1]
15:49:45.0 (1135636)|HEAP_ALLOCATE|[50]|Bytes:5
15:49:45.0 (1153568)|HEAP_ALLOCATE|[56]|Bytes:5
15:49:45.0 (1161459)|HEAP_ALLOCATE|[64]|Bytes:7
15:49:45.0 (1184537)|STATEMENT_EXECUTE|[3]
15:49:45.0 (1185743)|STATEMENT_EXECUTE|[4]
15:49:45.0 (4863577)|HEAP_ALLOCATE|[4]|Bytes:12
15:49:45.0 (4875663)|HEAP_ALLOCATE|[4]|Bytes:20
15:49:45.0 (4892127)|METHOD_ENTRY|[1]|01p1I00000FV94A|OpportunityTriggerHelper.OpportunityTriggerHelper()
15:49:45.0 (4898281)|STATEMENT_EXECUTE|[1]
15:49:45.0 (4902472)|STATEMENT_EXECUTE|[1]
15:49:45.0 (5274507)|SYSTEM_MODE_ENTER|false
15:49:45.0 (5289740)|HEAP_ALLOCATE|[4]|Bytes:5
15:49:45.0 (5297573)|SYSTEM_MODE_EXIT|false
15:49:45.0 (5307394)|METHOD_EXIT|[1]|OpportunityTriggerHelper
15:49:45.0 (5334494)|METHOD_ENTRY|[4]|01p1I00000FV94A|OpportunityTriggerHelper.afterInsert(List<Opportunity>)
